,date,lhd_code,lhd_name,lga_code,lga_name,case_count,state_name,state_code
224,2020-03-20,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW
225,2020-03-20,X700,Sydney,17100,Strathfield (A),1,New South Wales,NSW
226,2020-03-20,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW
227,2020-03-20,X710,South Western Sydney,11570,Canterbury-Bankstown (A),3,New South Wales,NSW
228,2020-03-20,X710,South Western Sydney,14900,Liverpool (C),2,New South Wales,NSW
229,2020-03-20,X710,South Western Sydney,18350,Wingecarribee (A),4,New South Wales,NSW
230,2020-03-20,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW
231,2020-03-20,X720,South Eastern Sydney,12930,Georges River (A),1,New South Wales,NSW
232,2020-03-20,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW
233,2020-03-20,X720,South Eastern Sydney,17150,Sutherland Shire (A),4,New South Wales,NSW
234,2020-03-20,X720,South Eastern Sydney,17200,Sydney (C),4,New South Wales,NSW
235,2020-03-20,X720,South Eastern Sydney,18050,Waverley (A),16,New South Wales,NSW
236,2020-03-20,X720,South Eastern Sydney,18500,Woollahra (A),10,New South Wales,NSW
237,2020-03-20,X730,Illawarra Shoalhaven,18450,Wollongong (C),2,New South Wales,NSW
238,2020-03-20,X740,Western Sydney,10750,Blacktown (C),2,New South Wales,NSW
239,2020-03-20,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW
240,2020-03-20,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW
241,2020-03-20,X760,Northern Sydney,14000,Hornsby (A),3,New South Wales,NSW
242,2020-03-20,X760,Northern Sydney,14500,Ku-ring-gai (A),1,New South Wales,NSW
243,2020-03-20,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW
244,2020-03-20,X760,Northern Sydney,15990,Northern Beaches (A),4,New South Wales,NSW
245,2020-03-20,X760,Northern Sydney,16700,Ryde (C),4,New South Wales,NSW
246,2020-03-20,X760,Northern Sydney,17420,The Hills Shire (A),1,New South Wales,NSW
247,2020-03-20,X770,Central Coast,11650,Central Coast (C) (NSW),1,New South Wales,NSW
248,2020-03-20,X800,Hunter New England,11720,Cessnock (C),1,New South Wales,NSW
249,2020-03-20,X800,Hunter New England,12700,Dungog (A),2,New South Wales,NSW
250,2020-03-20,X800,Hunter New England,14650,Lake Macquarie (C),3,New South Wales,NSW
251,2020-03-20,X800,Hunter New England,14920,Liverpool Plains (A),1,New South Wales,NSW
252,2020-03-20,X800,Hunter New England,15050,Maitland (C),1,New South Wales,NSW
253,2020-03-20,X800,Hunter New England,15240,Mid-Coast (A),2,New South Wales,NSW
254,2020-03-20,X810,Northern NSW,11730,Clarence Valley (A),1,New South Wales,NSW
255,2020-03-20,X850,Western NSW,10470,Bathurst Regional (A),1,New South Wales,NSW
256,2020-03-20,X850,Western NSW,16150,Orange (C),1,New South Wales,NSW
257,2020-03-21,X700,Sydney,14170,Inner West (A),3,New South Wales,NSW
258,2020-03-21,X700,Sydney,17100,Strathfield (A),1,New South Wales,NSW
259,2020-03-21,X700,Sydney,17200,Sydney (C),2,New South Wales,NSW
260,2020-03-21,X710,South Western Sydney,11450,Camden (A),3,New South Wales,NSW
261,2020-03-21,X710,South Western Sydney,11500,Campbelltown (C) (NSW),3,New South Wales,NSW
262,2020-03-21,X710,South Western Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
263,2020-03-21,X710,South Western Sydney,14900,Liverpool (C),1,New South Wales,NSW
264,2020-03-21,X720,South Eastern Sydney,12930,Georges River (A),2,New South Wales,NSW
265,2020-03-21,X720,South Eastern Sydney,16550,Randwick (C),2,New South Wales,NSW
266,2020-03-21,X720,South Eastern Sydney,17150,Sutherland Shire (A),7,New South Wales,NSW
267,2020-03-21,X720,South Eastern Sydney,17200,Sydney (C),2,New South Wales,NSW
268,2020-03-21,X720,South Eastern Sydney,18050,Waverley (A),21,New South Wales,NSW
269,2020-03-21,X720,South Eastern Sydney,18500,Woollahra (A),8,New South Wales,NSW
270,2020-03-21,X730,Illawarra Shoalhaven,16900,Shellharbour (C),1,New South Wales,NSW
271,2020-03-21,X730,Illawarra Shoalhaven,18450,Wollongong (C),2,New South Wales,NSW
272,2020-03-21,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW
273,2020-03-21,X740,Western Sydney,12380,Cumberland (A),3,New South Wales,NSW
274,2020-03-21,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW
275,2020-03-21,X740,Western Sydney,17420,The Hills Shire (A),2,New South Wales,NSW
276,2020-03-21,X750,Nepean Blue Mountains,13800,Hawkesbury (C),1,New South Wales,NSW
277,2020-03-21,X750,Nepean Blue Mountains,16350,Penrith (C),3,New South Wales,NSW
278,2020-03-21,X760,Northern Sydney,14000,Hornsby (A),2,New South Wales,NSW
279,2020-03-21,X760,Northern Sydney,14500,Ku-ring-gai (A),5,New South Wales,NSW
280,2020-03-21,X760,Northern Sydney,14700,Lane Cove (A),4,New South Wales,NSW
281,2020-03-21,X760,Northern Sydney,15350,Mosman (A),2,New South Wales,NSW
282,2020-03-21,X760,Northern Sydney,15950,North Sydney (A),2,New South Wales,NSW
283,2020-03-21,X760,Northern Sydney,15990,Northern Beaches (A),12,New South Wales,NSW
284,2020-03-21,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
285,2020-03-21,X760,Northern Sydney,18250,Willoughby (C),3,New South Wales,NSW
286,2020-03-21,X770,Central Coast,11650,Central Coast (C) (NSW),7,New South Wales,NSW
287,2020-03-21,X800,Hunter New England,14650,Lake Macquarie (C),2,New South Wales,NSW
288,2020-03-21,X800,Hunter New England,15240,Mid-Coast (A),1,New South Wales,NSW
289,2020-03-21,X800,Hunter New England,15900,Newcastle (C),4,New South Wales,NSW
290,2020-03-21,X820,Mid North Coast,16380,Port Macquarie-Hastings (A),1,New South Wales,NSW
291,2020-03-21,X830,Southern NSW,10550,Bega Valley (A),2,New South Wales,NSW
292,2020-03-21,X830,Southern NSW,12750,Eurobodalla (A),2,New South Wales,NSW
293,2020-03-21,X830,Southern NSW,16490,Queanbeyan-Palerang Regional (A),2,New South Wales,NSW
294,2020-03-22,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
295,2020-03-22,X700,Sydney,14170,Inner West (A),4,New South Wales,NSW
296,2020-03-22,X700,Sydney,17200,Sydney (C),3,New South Wales,NSW
297,2020-03-22,X710,South Western Sydney,11450,Camden (A),3,New South Wales,NSW
298,2020-03-22,X710,South Western Sydney,11500,Campbelltown (C) (NSW),4,New South Wales,NSW
299,2020-03-22,X710,South Western Sydney,11570,Canterbury-Bankstown (A),5,New South Wales,NSW
300,2020-03-22,X710,South Western Sydney,14900,Liverpool (C),4,New South Wales,NSW
301,2020-03-22,X710,South Western Sydney,18350,Wingecarribee (A),2,New South Wales,NSW
302,2020-03-22,X720,South Eastern Sydney,10500,Bayside (A),2,New South Wales,NSW
303,2020-03-22,X720,South Eastern Sydney,12930,Georges River (A),2,New South Wales,NSW
304,2020-03-22,X720,South Eastern Sydney,17150,Sutherland Shire (A),9,New South Wales,NSW
305,2020-03-22,X720,South Eastern Sydney,17200,Sydney (C),2,New South Wales,NSW
306,2020-03-22,X720,South Eastern Sydney,18050,Waverley (A),4,New South Wales,NSW
307,2020-03-22,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW
308,2020-03-22,X730,Illawarra Shoalhaven,16900,Shellharbour (C),3,New South Wales,NSW
309,2020-03-22,X730,Illawarra Shoalhaven,16950,Shoalhaven (C),1,New South Wales,NSW
