,date,state_name,state_code,country,vax_1_dose,vax_2_dose,vax_1_%,vax_2_%,population,age_group,sex,death_count,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum
114,2021-12-19,,,Australia,532519.0,523326.0,0.985343423876841,0.9683332099770557,540440.0,"(70, 74)",Male,,,,,,,,,,,,,,,,,,,
115,2021-12-19,,,Australia,561965.0,552471.0,0.995419368666427,0.9786024646134716,564551.0,"(70, 74)",Female,,,,,,,,,,,,,,,,,,,
116,2021-12-19,,,Australia,389942.0,382688.0,1.0515554548788644,1.0319936142213018,370824.0,"(75, 79)",Male,,,,,,,,,,,,,,,,,,,
117,2021-12-19,,,Australia,421217.0,413351.0,1.0454161889019602,1.0258936061431854,402918.0,"(75, 79)",Female,,,,,,,,,,,,,,,,,,,
118,2021-12-19,,,Australia,248708.0,242687.0,1.0369530321666076,1.0118493193520814,239845.0,"(80, 84)",Male,,,,,,,,,,,,,,,,,,,
119,2021-12-19,,,Australia,291845.0,284871.0,1.0112509442199877,0.9870858425907317,288598.0,"(80, 84)",Female,,,,,,,,,,,,,,,,,,,
120,2021-12-19,,,Australia,137092.0,132397.0,1.0463201117361074,1.010486708440503,131023.0,"(85, 89)",Male,,,,,,,,,,,,,,,,,,,
121,2021-12-19,,,Australia,187540.0,181086.0,1.012799049522061,0.9779445914564995,185170.0,"(85, 89)",Female,,,,,,,,,,,,,,,,,,,
122,2021-12-19,,,Australia,60187.0,57202.0,1.0474773316625767,0.9955272455141927,57459.0,"(90, 94)",Male,,,,,,,,,,,,,,,,,,,
123,2021-12-19,,,Australia,103692.0,98958.0,1.0269991878454132,0.9801121169502605,100966.0,"(90, 94)",Female,,,,,,,,,,,,,,,,,,,
124,2021-12-19,,,Australia,15247.0,14074.0,0.969540887701895,0.8949510365000636,15726.0,"(95,)",Male,,,,,,,,,,,,,,,,,,,
125,2021-12-19,,,Australia,38432.0,35764.0,1.0335072339052331,0.9617598020760502,37186.0,"(95,)",Female,,,,,,,,,,,,,,,,,,,
126,2021-12-18,New South Wales,NSW,Australia,2776884.0,6130696.0,0.4229411523701153,0.9337529515351943,6565651.0,,,,2468.0,95000.0,1.0,644.0,137149.0,23410362.0,2468.0,95000.0,0.0,2802.0,-9.0,206.0,2.0,26.0,1.0,9.0,0.0,0.0
127,2021-12-18,Victoria,VIC,Australia,2178168.0,4979933.0,0.40279948087626727,0.9209181418506709,5407574.0,,,,1435.0,144342.0,7.0,1459.0,88083.0,16380640.0,1435.0,144342.0,563.0,129449.0,-2.0,384.0,2.0,84.0,0.0,43.0,0.0,0.0
128,2021-12-18,Queensland,QLD,Australia,1679712.0,3463688.0,0.408420050346402,0.8421917729612151,4112707.0,,,,31.0,2258.0,0.0,7.0,16120.0,5117782.0,31.0,2258.0,0.0,2086.0,9.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2021-12-18,Tasmania,TAS,Australia,214740.0,403015.0,0.48785474768953957,0.9155852712121625,440172.0,,,,1.0,244.0,0.0,13.0,1512.0,419820.0,1.0,244.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2021-12-18,Western Australia,WA,Australia,846540.0,1726066.0,0.4002594826045472,0.81611534493503,2114978.0,,,,0.0,1125.0,0.0,9.0,0.0,2013127.0,0.0,1125.0,0.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2021-12-18,South Australia,SA,Australia,651041.0,1243054.0,0.4519862538183838,0.8629922243821161,1440400.0,,,,73.0,1216.0,0.0,4.0,19232.0,2809755.0,73.0,1216.0,7.0,979.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2021-12-18,Northern Territory,NT,Australia,56501.0,157751.0,0.29648267574814635,0.8277807221455521,190571.0,,,,1.0,352.0,0.0,1.0,493.0,554156.0,1.0,352.0,6.0,281.0,4.0,71.0,1.0,1.0,0.0,0.0,0.0,0.0
133,2021-12-18,Australian Capital Territory,ACT,Australia,134200.0,341498.0,0.3900743234012621,0.9926199798277511,344037.0,,,,18.0,2260.0,0.0,15.0,4757.0,685218.0,18.0,2260.0,4.0,2156.0,-1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
134,2021-12-18,,,Australia,532003.0,493870.0,0.8650511548042589,0.8030458734690957,614996.0,"(16, 19)",Male,,,,,,,,,,,,,,,,,,,
135,2021-12-18,,,Australia,522320.0,491133.0,0.8993329729022393,0.8456350531865438,580786.0,"(16, 19)",Female,,,,,,,,,,,,,,,,,,,
136,2021-12-18,,,Australia,744857.0,691496.0,0.8464668848584026,0.7858266284831129,879960.0,"(20, 24)",Male,,,,,,,,,,,,,,,,,,,
137,2021-12-18,,,Australia,721599.0,684867.0,0.8669480407139356,0.8228172486375825,832344.0,"(20, 24)",Female,,,,,,,,,,,,,,,,,,,
138,2021-12-18,,,Australia,842996.0,787851.0,0.8773641067912259,0.8199709000986649,960828.0,"(25, 29)",Male,,,,,,,,,,,,,,,,,,,
139,2021-12-18,,,Australia,819503.0,779789.0,0.866549717248876,0.8245557825459867,945708.0,"(25, 29)",Female,,,,,,,,,,,,,,,,,,,
140,2021-12-18,,,Australia,855898.0,808401.0,0.9022949063810184,0.8522231674958016,948579.0,"(30, 34)",Male,,,,,,,,,,,,,,,,,,,
141,2021-12-18,,,Australia,873088.0,835068.0,0.8953720188039938,0.856381625905537,975112.0,"(30, 34)",Female,,,,,,,,,,,,,,,,,,,
142,2021-12-18,,,Australia,852837.0,813377.0,0.9383765952975376,0.8949587552525574,908843.0,"(35, 39)",Male,,,,,,,,,,,,,,,,,,,
143,2021-12-18,,,Australia,865768.0,834430.0,0.934775966149019,0.9009401010821906,926177.0,"(35, 39)",Female,,,,,,,,,,,,,,,,,,,
144,2021-12-18,,,Australia,775069.0,744884.0,0.9627707939978137,0.9252757626950213,805040.0,"(40, 44)",Male,,,,,,,,,,,,,,,,,,,
145,2021-12-18,,,Australia,778766.0,755027.0,0.9553453464136796,0.9262237063080326,815167.0,"(40, 44)",Female,,,,,,,,,,,,,,,,,,,
146,2021-12-18,,,Australia,755054.0,729976.0,0.9142030354213206,0.8838391359885702,825915.0,"(45, 49)",Male,,,,,,,,,,,,,,,,,,,
147,2021-12-18,,,Australia,769148.0,749173.0,0.9040280864738053,0.8805502109188871,850801.0,"(45, 49)",Female,,,,,,,,,,,,,,,,,,,
148,2021-12-18,,,Australia,752719.0,731471.0,0.9863419913987174,0.9584992046041235,763142.0,"(50, 54)",Male,,,,,,,,,,,,,,,,,,,
149,2021-12-18,,,Australia,773973.0,756283.0,0.9657930136039312,0.9437187572530591,801386.0,"(50, 54)",Female,,,,,,,,,,,,,,,,,,,
150,2021-12-18,,,Australia,716625.0,699907.0,0.943122460824144,0.9211205472709494,759843.0,"(55, 59)",Male,,,,,,,,,,,,,,,,,,,
